creator_name,userid,comment
"Brave Wilderness", 114706,"Imagine tripping and falling on that cloth"
"The Dodo", 115858,"That’s really thoutful"
"Mark Day", 116384,"Wow. This is killer! Thanks for putting it together."
"Knowledge Feed", 117079,"Nukes"
"Brave Wilderness", 117404,"If he gets shanked in the heart by a sting ray to Ima cry"
"Brave Wilderness", 117404,"Jeasus the pattern on the snake made me thin you got bit but it was the tail16:17"
"Brave Wilderness", 117404,"Nice meme"
"Brave Wilderness", 117404,"Mark wins"
"Brave Wilderness", 117404,"Well I just crossed coyote doing saltbae off my bucket list"
"RedLeopardVideos", 118219,"noticed you said heavy bowgun with light on the screen and light bowgun when heavy was on screen not sayin you did a bad job just making an observasion. Keep doin what you do"
"Gohan The Husky", 118459,"#happy bday Gohan"
"prehistoricpetstv", 118528,"I watched the video mostly because I thought it would show the coat being bitten to demonstrate its puncture resistance to snake fangs/teeth"
"Brave Wilderness", 119057,"Please come to the Missouri Ozarks!"
"The Dodo", 119057,"Those puppies are black dad got cucked"
"Kyle Naegeli", 119057,"Nidhoggr"
"Talking Kitty Cat", 119212,"early yay"
"meow meow", 119212,"Rabbit kicks are only cute  if they dont use claws"
"Taylor Nicole Dean", 119212,"I love snakes"
"LPE360", 119415,"I had an asthma attack on 0:10"
"Steve Arra", 119885,"Short show...LLLLLLLOOOOOOOOOOOONNNNNNNNNGGGGGG finale."
"Alex Dauterive", 120592,"กูขำหน้าฝรั่งตอนมันฟัง.😂"
"Brave Wilderness", 121172,"I guess this adds to the list of pinches and stings"
"Brave Wilderness", 121172,"How do u survive being stung by deadly things... r u Jesus"
"Brave Wilderness", 121172,"U r gonna die bro. Gotta stop this biting stuff"
"Brave Wilderness", 121172,"Did I anybody else think of waffles while watching this"
"Brave Wilderness", 121172,"Looks just like the set from gta v"
"Brave Wilderness", 121172,"Killing it as soon as I c it"
"Brave Wilderness", 121172,"I love how coyote doesnt even asked for likes and he gets up to 300k"
"Brave Wilderness", 121172,"A herpetologist sounds like someone who studies herpes Im serious Coyote"
"Brave Wilderness", 121172,"But wut if the sea star loses all its limbs"
"Brave Wilderness", 121172,"Lol 😂"
"Brave Wilderness", 121172,"3:06 she will jerk on you a lot and swing you around a little bit he said tht for the dirty ppl out there watching"
"Brave Wilderness", 121172,"How r u hype about a  tree"
"Brian Barczyk", 121948,"Love your videos"
"Brian Barczyk", 121948,"Brian you are my  favourite youtuber and Ive been watching you channel for 7 days 🖒🖒🖒"
